N,alpha,beta,lam,rho,sum,windowed_growth,tail_mean,classification
800000,0.98,0.98,0.0001,1.0,3.7607742009401197,1.2880397677497158e-07,1.2795268957089146e-07,divergent
800000,0.98,0.985,0.0001,1.0,3.741953137683291,1.2713514911446567e-07,1.262945953230001e-07,divergent
800000,0.98,0.99,0.0001,1.0,3.723313481797425,1.2548794107476446e-07,1.246579854799564e-07,divergent
800000,0.98,0.995,0.0001,1.0,3.7048534646837363,1.2386207262500282e-07,1.2304258171316904e-07,divergent
800000,0.98,1.0,0.0001,1.0,3.686571336387705,1.2225726735848319e-07,1.2144810929859978e-07,divergent
800000,0.98,1.005,0.0001,1.0,3.668465365390978,1.2067325245277426e-07,1.1987429707010942e-07,divergent
800000,0.98,1.01,0.0001,1.0,3.6505338384142942,1.1910975861411099e-07,1.1832087737340607e-07,divergent
800000,0.98,1.0150000000000001,0.0001,1.0,3.6327750602163946,1.17566520037804e-07,1.1678758602058995e-07,divergent
800000,0.98,1.02,0.0001,1.0,3.615187353399036,1.1604327435761341e-07,1.1527416224528508e-07,divergent
800000,0.985,0.98,0.0001,1.0,3.683493798982545,1.2034960351010593e-07,1.1955038481922859e-07,divergent
800000,0.985,0.985,0.0001,1.0,3.6653575276769104,1.1879030544474922e-07,1.1800116503482142e-07,divergent
800000,0.985,0.99,0.0001,1.0,3.647395541823847,1.1725120823169454e-07,1.1647201912494685e-07,divergent
800000,0.985,0.995,0.0001,1.0,3.6296061499469103,1.1573205022119559e-07,1.1496268702992129e-07,divergent
800000,0.985,1.0,0.0001,1.0,3.61198767834826,1.1423257313625257e-07,1.1347291205812274e-07,divergent
800000,0.985,1.005,0.0001,1.0,3.594538470917209,1.1275252205100728e-07,1.1200244084239458e-07,divergent
800000,0.985,1.01,0.0001,1.0,3.5772568889389693,1.1129164534355863e-07,1.1055102329701341e-07,divergent
800000,0.985,1.0150000000000001,0.0001,1.0,3.5601413109042324,1.0984969464864491e-07,1.0911841257521367e-07,divergent
